1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,8.82,26,486824,1929,Objectively Good
5,Cowboy Bebop: Tengoku no Tobira,"Action, Drama, Mystery, Sci-Fi, Space",Movie,8.4,1,137636,864,Objectively Good
6,Trigun,"Action, Comedy, Sci-Fi",TV,8.32,26,283069,1299,Objectively Good
7,Witch Hunter Robin,"Action, Drama, Magic, Mystery, Police, Supernatural",TV,7.36,26,64905,310,Objectively Not Good
8,Beet the Vandel Buster,"Adventure, Fantasy, Shounen, Supernatural",TV,7.06,52,9848,45,Objectively Not Good
15,Eyeshield 21,"Action, Comedy, Shounen, Sports",TV,8.08,145,83648,286,Objectively Good
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance",TV,8.18,24,130646,488,Objectively Good
17,Hungry Heart: Wild Striker,"Comedy, Shounen, Slice of Life, Sports",TV,7.74,52,13469,79,Objectively Not Good
18,Initial D Fourth Stage,"Action, Cars, Drama, Seinen, Sports",TV,8.24,24,41584,207,Objectively Good
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,8.72,74,247562,569,Objectively Good
20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,7.81,220,683297,3080,Objectively Not Good
22,Prince of Tennis,"Action, Comedy, School, Shounen, Sports",TV,8.04,178,87643,290,Objectively Good
23,Ring ni Kakero 1,"Action, Shounen, Sports",TV,6.7,12,2224,2,Objectively Not Good
24,School Rumble,"Comedy, Romance, School, Shounen",TV,8.06,26,178553,795,Objectively Good
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,7.55,24,65516,270,Objectively Not Good
26,Texhnolyze,"Action, Drama, Psychological, Sci-Fi",TV,7.78,22,95859,194,Objectively Not Good
27,Trinity Blood,"Action, Supernatural, Vampire",TV,7.44,24,113791,560,Objectively Not Good
28,Yakitate!! Japan,"Comedy, Shounen",TV,8.05,69,50876,185,Objectively Good
29,Zipang,"Action, Drama, Historical, Military, Sci-Fi, Seinen",TV,7.56,26,8630,22,Objectively Not Good
30,Neon Genesis Evangelion,"Action, Dementia, Drama, Mecha, Psychological, Sci-Fi",TV,8.32,26,461946,2147,Objectively Good
31,Neon Genesis Evangelion: Death &amp; Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Movie,7.51,1,102093,659,Objectively Not Good
32,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",Movie,8.45,1,215630,1213,Objectively Good
33,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,8.4,25,226430,876,Objectively Good
43,Ghost in the Shell,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,8.34,1,223036,1043,Objectively Good
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,8.83,4,129307,690,Objectively Good
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai",TV,8.43,94,218928,892,Objectively Good
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Drama, Historical, Samurai, Shounen",Movie,7.65,1,33191,225,Objectively Not Good
47,Akira,"Action, Adventure, Horror, Military, Sci-Fi, Supernatural",Movie,8.15,1,215897,1157,Objectively Good
48,.hack//Sign,"Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",TV,7.14,26,110304,506,Objectively Not Good
49,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,7.41,5,34590,213,Objectively Not Good
50,Aa! Megami-sama! (TV),"Comedy, Magic, Romance, Seinen, Supernatural",TV,7.45,24,96694,512,Objectively Not Good
51,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural",OVA,6.46,3,36352,277,Objectively Not Good
52,Kidou Tenshi Angelic Layer,"Comedy, Drama, Sci-Fi, Shounen, Sports",TV,7.32,26,39758,199,Objectively Not Good
53,Ai Yori Aoshi,"Comedy, Drama, Harem, Romance, Slice of Life",TV,7.24,24,66597,325,Objectively Not Good
54,Appleseed (Movie),"Action, Drama, Mecha, Military, Police, Sci-Fi, Shounen",Movie,7.21,1,49553,363,Objectively Not Good
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,6.62,26,10392,40,Objectively Not Good
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",TV,6.02,13,12286,47,Objectively Not Good
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",TV,8.4,26,148328,696,Objectively Good
58,Blue Gender,"Adventure, Drama, Horror, Mecha, Military, Romance, Sci-Fi, Space",TV,7.13,26,40581,167,Objectively Not Good
59,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi, Seinen",TV,7.57,26,266846,1397,Objectively Not Good
60,Chrno Crusade,"Action, Demons, Historical, Romance, Supernatural",TV,7.8,24,140865,706,Objectively Not Good
61,D.N.Angel,"Action, Comedy, Fantasy, Magic, Romance, School, Shoujo",TV,7.35,26,126914,667,Objectively Not Good
62,D.C.: Da Capo,"Drama, Harem, Magic, Romance",TV,6.93,26,49909,208,Objectively Not Good
63,DearS,"Comedy, Ecchi, Harem, Romance, Sci-Fi",TV,6.8,12,91037,531,Objectively Not Good
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",TV,7.57,12,128688,669,Objectively Not Good
65,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen",TV,7.78,12,72645,465,Objectively Not Good
66,Azumanga Daioh,"Comedy, School, Slice of Life",TV,8.06,26,170901,766,Objectively Good
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Fantasy, Historical, Romance, Samurai, Supernatural",TV,7.68,24,98144,411,Objectively Not Good
68,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power",TV,7.52,23,150512,649,Objectively Not Good
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",TV,6.48,25,6995,17,Objectively Not Good
71,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",TV,7.81,24,256325,1368,Objectively Not Good
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",TV,8.21,12,171086,1095,Objectively Good
73,Full Metal Panic! The Second Raid,"Action, Mecha, Military",TV,8.06,13,155340,976,Objectively Good
74,Gakuen Alice,"Comedy, Magic, School, Shoujo",TV,7.8,26,52995,229,Objectively Not Good
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",TV,7.38,25,27516,87,Objectively Not Good
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",TV,7.52,13,62582,246,Objectively Not Good
77,Mahou Shoujo Lyrical Nanoha A&#039;s,"Action, Comedy, Drama, Magic, Super Power",TV,8.1,13,41685,201,Objectively Good
79,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",TV,7.31,24,158772,739,Objectively Not Good
80,Mobile Suit Gundam,"Action, Mecha, Military, Sci-Fi, Space",TV,7.89,43,51566,194,Objectively Not Good
81,Mobile Suit Gundam: The 08th MS Team,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,8.13,12,34177,165,Objectively Good
82,Mobile Suit Gundam 0080: War in the Pocket,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.85,6,22609,114,Objectively Not Good
83,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,"Drama, Mecha, Military, Romance, Sci-Fi",Movie,6.95,1,8078,41,Objectively Not Good
84,Mobile Suit Gundam 0083: Stardust Memory,"Adventure, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.47,13,20238,113,Objectively Not Good
85,Mobile Suit Zeta Gundam,"Drama, Mecha, Military, Sci-Fi, Space",TV,8.03,50,28959,127,Objectively Good
86,Mobile Suit Gundam ZZ,"Comedy, Drama, Mecha, Military, Sci-Fi, Space",TV,6.81,47,17517,68,Objectively Not Good
87,Mobile Suit Gundam: Char&#039;s Counterattack,"Drama, Mecha, Military, Sci-Fi, Space",Movie,7.81,1,19258,96,Objectively Not Good
88,Mobile Suit Gundam F91,"Drama, Mecha, Military, Sci-Fi, Space",Movie,6.9,1,13456,62,Objectively Not Good
89,Mobile Suit Victory Gundam,"Drama, Mecha, Military, Sci-Fi, Space",TV,6.98,51,12673,39,Objectively Not Good
90,Mobile Suit Gundam Wing,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,7.87,49,86001,466,Objectively Not Good
91,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,7.87,3,28485,181,Objectively Not Good
92,After War Gundam X,"Adventure, Drama, Mecha, Sci-Fi, Space",TV,7.39,39,19132,77,Objectively Not Good
93,Mobile Suit Gundam Seed,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,7.93,50,96973,506,Objectively Not Good
94,Mobile Suit Gundam Seed Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,7.36,50,65896,391,Objectively Not Good
95,Turn A Gundam,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",TV,7.76,50,20056,52,Objectively Not Good
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,7.62,49,36338,184,Objectively Not Good
97,Last Exile,"Action, Adventure, Sci-Fi",TV,7.94,26,104193,475,Objectively Not Good
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,7.59,26,76492,422,Objectively Not Good
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic",TV,7.4,26,36924,221,Objectively Not Good
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,7.33,13,37394,192,Objectively Not Good
101,Air,"Drama, Romance, Slice of Life, Supernatural",TV,7.48,13,188861,947,Objectively Not Good
